n,alpha,timeout,duration
3,0.0,500,15
3,0.0,500,1
3,0.0,500,1
3,0.0,500,1
3,0.0,500,1
3,0.0,1000,1
3,0.0,1000,1
3,0.0,1000,0
3,0.0,1000,1
3,0.0,1000,0
3,0.0,1500,1
3,0.0,1500,0
3,0.0,1500,0
3,0.0,1500,0
3,0.0,1500,1
3,0.0,2000,0
3,0.0,2000,1
3,0.0,2000,0
3,0.0,2000,0
3,0.0,2000,0
3,0.1,500,0
3,0.1,500,1
3,0.1,500,0
3,0.1,500,1
3,0.1,500,1
3,0.1,1000,0
3,0.1,1000,0
3,0.1,1000,1
3,0.1,1000,0
3,0.1,1000,0
3,0.1,1500,1
3,0.1,1500,1
3,0.1,1500,1
3,0.1,1500,0
3,0.1,1500,0
3,0.1,2000,1
3,0.1,2000,0
3,0.1,2000,0
3,0.1,2000,0
3,0.1,2000,1
3,1.0,500,1
3,1.0,500,0
3,1.0,500,0
3,1.0,500,0
3,1.0,500,0
3,1.0,1000,0
3,1.0,1000,0
3,1.0,1000,0
3,1.0,1000,0
3,1.0,1000,0
3,1.0,1500,0
3,1.0,1500,0
3,1.0,1500,0
3,1.0,1500,0
3,1.0,1500,0
3,1.0,2000,0
3,1.0,2000,0
3,1.0,2000,0
3,1.0,2000,0
3,1.0,2000,0
10,0.0,500,35
10,0.0,500,13
10,0.0,500,2
10,0.0,500,0
10,0.0,500,2
10,0.0,1000,1
10,0.0,1000,4
10,0.0,1000,0
10,0.0,1000,1
10,0.0,1000,1
10,0.0,1500,0
10,0.0,1500,1
10,0.0,1500,1
10,0.0,1500,1
10,0.0,1500,1
10,0.0,2000,0
10,0.0,2000,2
10,0.0,2000,1
10,0.0,2000,0
10,0.0,2000,0
10,0.1,500,9
10,0.1,500,1
10,0.1,500,1
10,0.1,500,4
10,0.1,500,1
10,0.1,1000,2
10,0.1,1000,1
10,0.1,1000,1
10,0.1,1000,4
10,0.1,1000,11
10,0.1,1500,1
10,0.1,1500,10
10,0.1,1500,2
10,0.1,1500,3
10,0.1,1500,25
10,0.1,2000,4
10,0.1,2000,1
10,0.1,2000,1
10,0.1,2000,3
10,0.1,2000,0
10,1.0,500,2
10,1.0,500,1
10,1.0,500,1
10,1.0,500,1
10,1.0,500,0
10,1.0,1000,2
10,1.0,1000,1
10,1.0,1000,1
10,1.0,1000,1
10,1.0,1000,3
10,1.0,1500,1
10,1.0,1500,0
10,1.0,1500,1
10,1.0,1500,0
10,1.0,1500,1
10,1.0,2000,0
10,1.0,2000,1
10,1.0,2000,1
10,1.0,2000,0
10,1.0,2000,1
100,0.0,500,656
100,0.0,500,827
100,0.0,500,444
100,0.0,500,1113
100,0.0,500,1264
100,0.0,1000,1548
100,0.0,1000,1360
100,0.0,1000,1803
100,0.0,1000,1424
100,0.0,1000,1458
100,0.0,1500,2301
100,0.0,1500,1561
100,0.0,1500,1727
100,0.0,1500,1038
100,0.0,1500,2265
100,0.0,2000,2773
100,0.0,2000,2220
100,0.0,2000,2092
100,0.0,2000,2124
100,0.0,2000,2269
100,0.1,500,552
100,0.1,500,522
100,0.1,500,553
100,0.1,500,551
100,0.1,500,554
100,0.1,1000,1065
100,0.1,1000,1068
100,0.1,1000,1046
100,0.1,1000,1076
100,0.1,1000,1041
100,0.1,1500,1545
100,0.1,1500,1565
100,0.1,1500,1551
100,0.1,1500,1550
100,0.1,1500,1542
100,0.1,2000,2076
100,0.1,2000,2040
100,0.1,2000,2045
100,0.1,2000,2068
100,0.1,2000,2072
100,1.0,500,550
100,1.0,500,545
100,1.0,500,547
100,1.0,500,550
100,1.0,500,551
100,1.0,1000,1063
100,1.0,1000,1035
100,1.0,1000,1070
100,1.0,1000,1045
100,1.0,1000,1046
100,1.0,1500,1536
100,1.0,1500,1566
100,1.0,1500,1566
100,1.0,1500,1544
100,1.0,1500,1551
100,1.0,2000,2050
100,1.0,2000,2051
100,1.0,2000,2047
100,1.0,2000,2045
100,1.0,2000,2052
